PedestrianID,PositionX,PositionY,PositionZ,VelocityX,VelocityY,VelocityZ,Timestamp
PABiped (2),-78.2,2.493234,-29.4,0,0,0,0
PABiped (2),-78.2,2.493234,-29.4,0,0,0,0.02
PABiped (2),-78.2,2.493234,-29.4,0,0,0,0.1896767
PABiped (2),-78.2,2.493234,-29.4,0,0,0,0.3335022
PABiped (2),-78.2,2.493234,-29.4,0,0,0,0.443054
PABiped (2),-78.2,2.493234,-29.4,0,0,0,0.5506089
PABiped (2),-78.2,2.493234,-29.4,0,0,0,0.6739636
PABiped (2),-78.2,2.493234,-29.4,0,0,0,0.79734
PABiped (2),-78.2,2.493234,-29.4,0,0,0,0.9059283
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.013891
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.117102
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.224259
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.350192
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.428543
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.483859
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.526141
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.562711
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.595167
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.622146
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.656227
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.694709
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.727264
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.758322
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.790709
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.820664
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.849851
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.87424
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.909587
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.947438
PABiped (2),-78.2,2.493234,-29.4,0,0,0,1.986124
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.014627
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.053804
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.094991
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.130457
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.156691
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.490025
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.715476
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.797298
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.866018
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.931581
PABiped (2),-78.2,2.493234,-29.4,0,0,0,2.993785
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.04267
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.103516
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.153636
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.205998
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.261562
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.311743
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.360221
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.408641
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.437651
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.475467
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.50346
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.532314
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.559076
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.603179
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.651
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.685311
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.719029
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.751719
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.778393
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.803595
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.834242
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.868789
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.897469
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.92465
PABiped (2),-78.2,2.493234,-29.4,0,0,0,3.980001
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.039853
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.10631
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.152851
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.199955
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.22728
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.253678
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.286381
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.339296
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.385174
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.428936
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.467913
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.51569
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.545488
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.57423
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.615736
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.659145
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.695888
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.724743
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.751894
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.777884
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.805865
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.867876
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.921965
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.967428
PABiped (2),-78.2,2.493234,-29.4,0,0,0,4.996215
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.026359
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.055094
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.089451
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.141227
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.173349
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.20654
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.236625
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.261621
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.327194
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.660528
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.757366
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.805994
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.85469
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.882625
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.911754
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.93687
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.97727
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.021612
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.067312
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.099202
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.128017
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.162081
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.190304
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.21431
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.240909
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.267301
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.2942
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.324193
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.355976
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.39373
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.424893
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.453325
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.479903
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.506992
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.533939
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.568017
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.598151
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.6272
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.658714
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.687446
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.715904
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.742247
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.772435
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.801588
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.833733
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.862917
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.892747
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.929532
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.984931
PABiped (2),-78.2,2.493234,-29.4,0,0,0,7.016224
